stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Kranoldplatz,autobus,A11,1965195,"52.42777476,13.32647358",,Lichterfelde,Steglitz-Zehlendorf,west,12209
Langestrasse Ecke Lorenzstrasse,autobus,A11,1965196,"52.42401446,13.33313155",,Lichterfelde,Steglitz-Zehlendorf,west,12209
Hildburghauserstrasse Ecke Mariannenstrasse,autobus,A11,1965197,"52.41661432,13.33818246",,Lichterfelde,Steglitz-Zehlendorf,west,12209
Stadtilmerweg,autobus,A11,1965198,"52.41507278,13.34597485",,Marienfelde,Tempelhof-Schöneberg,west,12279
"Marienelde, Alt-Marienfelde",autobus,A11,1965199,"52.41210781,13.36273360",,Marienfelde,Tempelhof-Schöneberg,west,12279
Gartenstrasse Ecke Bernauerstrasse,autobus,A12,1965200,"52.53343698,13.38751889",,Gesundbrunnen,Mitte,west,13355
Grenzstrasse Ecke Ackerstrasse,autobus,A12,1965201,"52.54070452,13.37926714",,Gesundbrunnen,Mitte,west,13355
U-Bhf. Leopold-Platz,autobus,A12,1965202,"52.54640033,13.35909680",,Wedding,Mitte,west,13353
U-Bhf. Seestrasse,autobus,A12,1965203,"52.55031541,13.35229850",,Wedding,Mitte,west,13347
Bristolstrasse Ecke Barfusstrasse,autobus,A12,1965204,"52.55830889,13.35117448",,Wedding,Mitte,west,13349
Emmentalerstrasse Ecke Aroserallee,autobus,A12,1965205,"52.56751553,13.35120118",,Reinickendorf,Reinickendorf,west,13407
Lindauerallee Ecke Roedernallee,autobus,A12,1965206,"52.57437590,13.34773196",,Reinickendorf,Reinickendorf,west,13407
Tessenowstrasse Ecke Roedernallee,autobus,A12,1965207,"52.58314996,13.34369472",,Wittenau,Reinickendorf,west,13437
Rathaus Reinickendorf,autobus,A12,1965208,"52.59165784,13.32633528",,Wittenau,Reinickendorf,west,13437
Cyclopstrasse Ecke Hermsdorferstrasse,autobus,A12,1965209,"52.60209837,13.32482303",,Wittenau,Reinickendorf,west,13437
