stop_name,type,line_name,stop_id,location,identifier,district,neighborhood,east_west_admin
"Stölpchensee, Wilhelmplatz",autobus,A3,1965130,"52.41240583,13.14164452",,Steglitz-Zehlendorf,Wannsee,west
"Neu-Westend, Brixplatz",autobus,A4,1965131,"52.51950863,13.25638651",,Charlottenburg-Wilmersdorf,Westend,west
Theodor-Heuss-Platz,autobus,A4,1965132,"52.50937134,13.27256472",,Charlottenburg-Wilmersdorf,Westend,west
Messedamm,autobus,A4,1965133,"52.50446815,13.27941210",,Charlottenburg-Wilmersdorf,Westend,west
Henriettenplatz,autobus,A4,1965134,"52.49701780,13.29033951",,Charlottenburg-Wilmersdorf,Halensee,west
Hochmeisterplatz,autobus,A4,1965135,"52.49468638,13.30125468",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Berlinerstrasse Ecke Uhlandstrasse,autobus,A4,1965136,"52.48647343,13.32250152",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Bundesallee Ecke Badenschestrasse,autobus,A4,1965137,"52.48612222,13.33105202",,Charlottenburg-Wilmersdorf,Wilmersdorf,west
Rathaus Schöneberg,autobus,A4,1965138,"52.48515474,13.34508660",,Tempelhof-Schöneberg,Schöneberg,east
Innsbrucker Platz,autobus,A4,1965139,"52.47854551,13.34405869",,Tempelhof-Schöneberg,Schöneberg,east
Hauptstrasse Ecke Dominicusstrasse,autobus,A4,1965140,"52.48178378,13.34841821",",+nan",Tempelhof-Schöneberg,Schöneberg,east
Kaiser-Wilhelm-Platz,autobus,A4,1965141,"52.48632925,13.35655627",,Tempelhof-Schöneberg,Schöneberg,east
Dudenstrasse Ecke Katzbachstrasse,autobus,A4,1965142,"52.48503402,13.37659343",,Friedrichshain-Kreuzberg,Kreuzberg,west
U-Bhf. Flughafen,autobus,A4,1965143,"52.48488596,13.38599655",,Friedrichshain-Kreuzberg,Kreuzberg,west
Columbiadamm Ecke Friesenstrasse,autobus,A4,1965144,"52.48396787,13.39436897",,Friedrichshain-Kreuzberg,Kreuzberg,west
Flughafenstrasse Ecke Hermannstrasse,autobus,A4,1965145,"52.48071391,13.42508430",,Neukölln,Neukölln,east
Kienitzerstrasse Ecke Karl-Marx-Strasse,autobus,A4,1965146,"52.47761763,13.43849396",,Neukölln,Neukölln,east
Sonnenallee Ecke Erkstrasse,autobus,A4,1965147,"52.48167462,13.44010366",,Neukölln,Neukölln,east
Harzerstrasse Ecke Elsenstrasse,autobus,A4,1965148,"52.48508524,13.44890845",,Neukölln,Neukölln,east
Machandelweg,autobus,A5,1965149,"52.52483520,13.24567178",,Spandau,Spandau,west
U-Bhf. Ruhleben,autobus,A5,1965150,"52.52596833,13.24147858",,Spandau,Spandau,west
Teltowerstrasse Ecke Ruhlebenerstrasse,autobus,A5,1965151,"52.52649488,13.21644671",,Spandau,Wilhelmstadt,west
Stresowplatz,autobus,A5,1965152,"52.53362878,13.20678183",,Spandau,Spandau,west
Breite Straße Ecke Charlottenstraße,autobus,A5,1965153,"52.53614601,13.20442667",,Spandau,Spandau,west
Rathaus Spandau,autobus,A5,1965154,"52.53457836,13.19949094",,Spandau,Spandau,west
Zeppelinstrasse Ecke Seegefelderstrasse,autobus,A5,1965155,"52.53843134,13.18241060",,Spandau,Spandau,west
Falkenseerchaussee Ecke Zeppelinstrasse,autobus,A5,1965156,"52.54753513,13.18466337",,Spandau,Falkenhagener Feld,west
Waldkrankenhaus,autobus,A5,1965157,"52.56214543,13.15834009",,Spandau,Falkenhagener Feld,west
