stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964158,Björnsonstrasse,strassenbahn,"52.5544232,13.4030585",3,Q65920495,
1964159,Blankenburg,s-bahn,"52.5915,13.4435","KBS 104,KBS 106",Q800469,Berlin-Blankenburg station
1964160,"Blankenburg, Bahnhofstrasse",bus,"52.591380472079955, 13.453512267562314",A42,,"Blankenburg, Bahnhofstrasse Ecke Heinersdorfer Strasse"
1964161,"Blankenfelde, Hauptstrasse",bus,"52.63002534735451, 13.38262328371393","A7,A7E",,"Blankenfelde, Hauptstrasse"
1964162,Blaschkoallee,u-bahn,"52.451944444444,13.449444444444",C I,Q666911,
1964163,Blaschkoallee Ecke Britzer Damm,bus,"52.45261494085354, 13.438544655903872",A91,,
1964164,Bleibtreustrasse Ecke Kurfürstendamm,bus,"52.50160347596025, 13.319464110729676",A69,,
1964165,Blohmstrasse Ecke Wünsdorfer Strasse,bus,"52.388693095651256, 13.394328971164002",A76,,
1964166,Blumenstrasse,strassenbahn,"52.44907887643158, 13.760106955990562",S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,
1964167,Boddinstr.,u-bahn,"52.48,13.425277777778",D,Q819495,Boddinstraße
1964168,"Bohnsdorf, Kirche",bus,"52.39948771402893, 13.555574431978044",A36,,"Bohnsdorf, Kirche"
1964169,"Bohnsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916","AD,A38",,"Bohnsdorf, Waldstrasse"
1964170,Bonhoeffer-Heim,bus,"52.57940412664757, 13.33327468081513",A62,,
1964171,"Bonsdorf, Waldstrasse",bus,"52.389397192754984, 13.570666562153916",A38,,
1964172,Borgsdorf,s-bahn,"52.7155,13.2764",KBS 104,Q4093486,Borgsdorf station
1964173,Bornholmer Strasse,strassenbahn,"52.5537705,13.4138898",49,,
1964174,Borsigwalder Weg,bus,"52.58482847787268, 13.29793542584195",A15,,Borsigwalder Weg Ecke Conradstrasse
1964175,Borsigwerke,u-bahn,"52.5819,13.2907",C I,Q525185,Borsigwerke
1964176,Borussenstrasse Ecke Kronprizessinnen Weg,bus,"52.42987973140939, 13.185060134093185",A3,,
1964177,Botanischer Garten,bus,"52.458598799471524, 13.303436055459807","A1,A68",,"Botanischer Garten, Ecke Königin-Luise-Strasse"
1964178,Botanischer Garten,s-bahn,"52.44806,13.30722",KBS 100e,Q800498,Berlin Botanischer Garten station
1964179,Boxhagenerstrasse Ecke Holteistrasse,bus,"52.508613193309614, 13.466277189422302",O30,,
1964180,Brabanter Platz,bus,"52.48200661448961, 13.316219175470072",A60,,Brabanter Platz
1964181,Brandenburgischestrasse Ecke Blissestrasse,bus,"52.48649713854125, 13.320383969408674",A89,,
1964182,Breite Strasse Ecke Albrechtstrasse,bus,"52.45435057367761, 13.328307509759025",A68,,Breite Strasse Ecke Albrechtstrasse
1964183,Breite Strasse Ecke Charlottenstrasse,bus,"52.53613613360638, 13.20450629947795","A5,A31",,Breite Strasse Ecke Charlottenstrasse
1964184,Breitenbachplatz,bus,"52.467219717443385, 13.309473490660878","A1,A16,A32",,Breitenbachplatz
1964185,Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556",A II,Q571339,Breitenbachplatz metro station
1964186,Breitenbachstrasse Ecke Eichborndamm,bus,"52.57783789535704, 13.314837431368987",A15,,
1964187,Breitscheidplatz,bus,"52.504438063129996, 13.33564615707506","A19,A29,A60",,Breitscheidplatz
1964188,Bristolstrasse,bus,"52.558311542070335, 13.351189355013176",A12,,Bristolstrasse Ecke Barfusstrasse
1964189,Britz-Süd,u-bahn,"52.437777777778,13.448055555556",C I,Q571845,
1964190,Britzer Damm Ecke Gradestrasse,bus,"52.45262467877224, 13.438590226068557",A73,,
1964191,Britzer Damm Ecke Tempelhofer Weg,bus,"52.44894113315902, 13.436220481040927","A25, A91","nan, nan","nan, nan"
1964192,Brixplatz,bus,"52.51907944117457, 13.25699370576959",A4,,Brixplatz
1964193,Brunnenplatz,bus,"52.54967231813887, 13.377205988834362",A99,,
1964194,Brunnenstrasse,strassenbahn,"52.5324542,13.3974236","46,70",Q65691740,Brunnenstraße/Invalidenstraße
1964195,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"52.5324542,13.3974236",11,Q65691740,
1964196,Brunnenstrasse Ecke Lortzingstrasse,bus,"52.542546240732094, 13.392728124104385",A99,,
1964197,Buch,s-bahn,"52.6359,13.4917",KBS 106,Q4892359,Berlin-Buch station
1964198,"Buch, Kiesgruben",bus,"52.641758052786535, 13.515964627443202",A42,,
1964199,"Buchholz, Hauptstrasse",strassenbahn,"52.619072064369824, 13.393383358408967",49,,"Buchholz, Hauptstrasse"
1964200,Buckower Ch.,s-bahn,"52.4103,13.3829",KBS 100c,Q800499,Buckower Chaussee station
1964201,Buckower Chaussee Ecke Lichtenrader Damm,bus,"52.41457113222887, 13.401203951196644",A76,,
1964202,Buckower Chaussee Ecke Mariendorfer Damm,bus,"52.41454962275545, 13.401182443012997",AS2s,,
1964203,Buckower Damm,bus,"52.42368329841466, 13.436638725763267",A52,,Buckower Damm Ecke Alt-Buckow
